0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:49 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:02:50 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:13 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:13 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:14 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:16 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:16 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:17 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:03:18 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:28 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:28 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:28 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:28 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:28 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:29 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:42 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:42 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:42 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:43 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:43 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:43 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:43 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:04:43 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:08 +0530] "GET /hr/eg5.html HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:08 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:09 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Dec/2018:19:05:10 +0530] "GET /hr/eg5.html HTTP/1.1" 304 -
