0:0:0:0:0:0:0:1 - - [26/May/2019:12:55:05 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [26/May/2019:12:56:06 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:00 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:00 +0530] "GET /onlineCounselling/jqueryBootstrap/adminPanelScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:01 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:01 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:01 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:01 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:34:21 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [26/May/2019:22:35:15 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:35:28 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:36:50 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [26/May/2019:22:37:57 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:07 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:08 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:08 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:08 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:08 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:38:23 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:09 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:13 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:13 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:13 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:13 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:13 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:40:23 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [26/May/2019:22:41:44 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:41:44 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:41:45 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:10 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:11 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:11 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:11 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:24 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:57 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:57 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:57 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:57 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:42:57 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:06 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:22 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:22 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap4.css HTTP/1.1" 200 153188
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:22 +0530] "GET /onlineCounselling/jqueryBootstrap/adminPanelScript.js HTTP/1.1" 200 6574
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:22 +0530] "GET /onlineCounselling/jqueryBootstrap/jquery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:22 +0530] "GET /onlineCounselling/jqueryBootstrap/jquery2.js HTTP/1.1" 200 55781
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:23 +0530] "GET /onlineCounselling/jqueryBootstrap/jquery1.js HTTP/1.1" 200 20976
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:23 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:23 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:23 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:43:23 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /onlineCounselling/jqueryBootstrap/adminPanelScript.js HTTP/1.1" 200 6575
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:22:47:58 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:22:48:06 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [26/May/2019:22:48:34 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/May/2019:22:49:10 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 137
